"Geographic area","Time period","Sex","Adjusted net attendance rate, one year before the official primary entry age","Adjusted net attendance rate for children of primary school age","Adjusted net attendance rate for adolescents of lower secondary school age","Adjusted net attendance rate for youth of upper secondary school age","Completion rate for children of primary school age","Completion rate for adolescents of lower secondary school age","Completion rate for youth of upper secondary education school age","Out-of-school rate for children of primary school age","Out-of-school rate for adolescents of lower secondary school age","Out-of-school rate for youth of upper secondary school age","Out-of-school rate for youth of upper secondary school age (administrative data)","Youth literacy rate for 15-24 years","Proportion of students at the end of primary achieving at least a minimum proficiency level in mathematics","Proportion of students at the end of lower secondary achieving at least a minimum proficiency level in mathematics","Proportion of students at the end of lower secondary achieving at least a minimum proficiency level in reading","Out-of-school rate for children one year younger than official entry age (administrative data)","Out-of-school rate for children of primary school age (administrative data)","Out-of-school rate for adolescents of lower secondary school age (administrative data)","Proportion of students in Grade 2 or 3 achieving at least a minimum proficiency level in mathematics","Proportion of students in Grade 2 or 3 achieving at least a minimum proficiency level in reading","Proportion of students at the end of primary achieving at least a minimum proficiency level in reading"
"Luxembourg","2019","Male","-","-","-","-","-","-","-","-","-","-","20.65248","-","-","-","-","0.44893","-","1.34392","-","-","-"
"Luxembourg","2019","Total","-","-","-","-","-","-","-","-","-","-","19.03034","-","-","-","-","0.23038","0.62121","2.44894","-","-","-"
"Luxembourg","2018","Female","-","-","-","-","-","-","-","-","-","-","-","-","-","71.83455","75.82555","-","-","-","-","-","-"
"Luxembourg","2018","Male","-","-","-","-","-","-","-","-","-","-","-","-","-","73.70429","65.73183","-","-","-","-","-","-"
"Luxembourg","2018","Total","-","-","-","-","-","-","-","-","-","-","-","-","-","72.78241","70.70858","-","-","-","-","-","-"
"Luxembourg","2015","Female","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.99038","-","-","-","-"
"Luxembourg","2015","Male","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.12227","-","-","-","-"
"Madagascar","2019","Female","-","-","-","-","-","-","-","-","-","-","64.33631","-","-","-","-","38.00537","-","28.99433","-","-","-"
"Madagascar","2019","Male","-","-","-","-","-","-","-","-","-","-","63.2431","-","-","-","-","43.32683","-","31.06049","-","-","-"
"Madagascar","2019","Total","-","-","-","-","-","-","-","-","-","-","63.78891","-","6.3","-","-","40.69515","2.32186","30.03208","-","-","6.3"
"Madagascar","2018","Female","60.400002","78.699997","31.5","14.1","60.200001","26.5","15","19.299999","33.099998","66.599998","-","79.18119","-","-","-","-","-","-","5.3","14.7","-"
"Madagascar","2018","Male","58.299999","73.5","23","11.4","51.599998","26.1","15.5","24.299999","38","64.900002","-","80.57806","-","-","-","-","-","-","2.8","11.6","-"
"Madagascar","2018","Total","59.400002","76.099998","27.200001","12.8","55.900002","26.4","15.3","21.799999","35.599998","65.699997","-","79.85117","-","-","-","-","-","-","4.1","13.2","-"
"Malawi","2019","Female","-","-","-","-","-","-","-","-","-","-","75.79324","-","-","-","-","-","-","18.13865","-","-","-"
"Malawi","2019","Male","-","-","-","-","-","-","-","-","-","-","62.09486","-","-","-","-","-","-","18.98974","-","-","-"
"Malawi","2019","Total","-","-","-","-","-","-","-","-","-","-","68.95038","-","-","-","-","-","-","18.56497","-","-","-"
"Malawi","2016","Female","65.276207","94.5","30.799999","18.4","51.5","21.299999","12.9","4.8000002","7.8872399","36.396931","-","-","-","-","-","-","-","-","-","-","-"
"Malawi","2016","Male","60.358002","93","25.200001","16.700001","42.700001","23.1","15.3","6.1999998","8.0389347","22.920891","-","-","-","-","-","-","-","-","-","-","-"
"Malawi","2016","Total","62.835651","93.699997","28","17.4","46.700001","22.200001","14","5.5","7.964612","28.92725","-","-","-","-","-","-","-","-","-","-","-"
"Malaysia","2020","Female","-","-","-","-","-","-","-","-","-","-","36.69985","-","-","-","-","9.14593","1.36626","9.56901","-","-","-"
"Malaysia","2020","Male","-","-","-","-","-","-","-","-","-","-","42.13582","-","-","-","-","10.18394","1.82884","12.81806","-","-","-"
"Malaysia","2020","Total","-","-","-","-","-","-","-","-","-","-","39.50272","-","-","-","-","9.68066","1.60434","11.24042","-","-","-"
"Malaysia","2019","Female","-","-","-","-","-","-","-","-","-","-","-","96.97591","67.8","-","-","-","-","-","-","-","65.9"
"Malaysia","2019","Male","-","-","-","-","-","-","-","-","-","-","-","96.59851","60.8","-","-","-","-","-","-","-","50.4"
"Malaysia","2019","Total","-","-","-","-","-","-","-","-","-","-","-","96.7784","64","-","-","-","-","-","-","-","58"
"Malaysia","2018","Female","-","-","-","-","-","-","-","-","-","-","-","-","-","60.45583","61.04351","-","-","-","-","-","-"
"Malaysia","2018","Male","-","-","-","-","-","-","-","-","-","-","-","-","-","56.44509","46.92655","-","-","-","-","-","-"
"Malaysia","2018","Total","-","-","-","-","-","-","-","-","-","-","-","-","-","58.50222","54.1672","-","-","-","-","-","-"
"Maldives","2019","Female","-","-","-","-","-","-","-","-","-","-","44.48059","-","-","-","-","5.3695","0.72512","14.79679","-","-","-"
"Maldives","2019","Male","-","-","-","-","-","-","-","-","-","-","55.29095","-","-","-","-","8.04083","3.16708","2.73029","-","-","-"
"Maldives","2019","Total","-","-","-","-","-","-","-","-","-","-","50.0395","-","-","-","-","6.77588","2.00353","8.62392","-","-","-"
"Maldives","2017","Female","98.900002","94.599998","85.5","41","-","-","-","0.89999998","3.830708","22.879511","-","-","-","-","-","-","-","-","-","-","-"
"Maldives","2017","Male","97.300003","95","82","28.299999","-","-","-","1.2","4.1142192","27.46151","-","-","-","-","-","-","-","-","-","-","-"
"Maldives","2017","Total","98","94.800003","83.699997","34.900002","-","-","-","1","3.9809189","25.07354","-","-","-","-","-","-","-","-","-","-","-"
"Mali","2020","Female","-","-","-","-","-","-","-","-","-","-","-","38.45202","-","-","-","-","-","-","-","-","-"
"Mali","2020","Male","-","-","-","-","-","-","-","-","-","-","-","55.22719","-","-","-","-","-","-","-","-","-"
"Mali","2020","Total","-","-","-","-","-","-","-","-","-","-","-","46.15734","-","-","-","-","-","-","-","-","-"
"Mali","2018","Female","-","-","-","-","-","-","-","-","-","-","78.91945","-","-","-","-","56.88315","44.16784","56.25222","-","-","-"
"Mali","2018","Male","-","-","-","-","-","-","-","-","-","-","71.43306","-","-","-","-","53.49144","37.91068","49.39055","-","-","-"
"Mali","2018","Total","-","-","-","-","-","-","-","-","-","-","75.13049","-","-","-","-","55.15822","40.98841","52.77266","-","-","-"
"Mali","2015","Female","51.851589","51.200001","30.4","14.3","40.700001","25.1","11.8","49.5","63","79.800003","-","-","-","-","-","-","-","-","-","-","-"
"Mali","2015","Male","53.319672","54.900002","36.299999","20.4","49.700001","35.799999","23.1","44.900002","55.400002","70.400002","-","-","-","-","-","-","-","-","-","-","-"
"Mali","2015","Total","52.62154","53.099998","33.5","17.299999","45.200001","30.299999","16.799999","47.200001","59","75.199997","-","-","-","-","-","-","-","-","-","-","-"
"Malta","2019","Female","-","-","-","-","-","-","-","-","-","-","6.8575","-","-","-","-","5.23268","-","-","-","-","-"
"Malta","2019","Male","-","-","-","-","-","-","-","-","-","-","9.69776","-","-","-","-","0","-","-","-","-","-"
"Malta","2019","Total","-","-","-","-","-","-","-","-","-","-","8.30951","-","69","-","-","2.51836","-","1.53085","-","-","-"
"Malta","2018","Female","-","-","-","-","-","-","-","-","-","-","-","99.56088","-","-","73.98434","-","-","-","-","-","-"
"Malta","2018","Male","-","-","-","-","-","-","-","-","-","-","-","99.05695","-","-","55.05872","-","-","-","-","-","-"
"Malta","2018","Total","-","-","-","-","-","-","-","-","-","-","-","99.30071","-","-","64.1141","-","-","-","-","-","-"
"Malta","2017","Total","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.23263","-","-","-","-"
"Malta","2016","Female","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","77.80421"
"Malta","2016","Male","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","69.14823"
"Malta","2016","Total","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","73.16581"
"Malta","2015","Female","-","-","-","-","-","-","-","-","-","-","-","-","-","62.80407","-","-","-","-","-","-","-"
"Malta","2015","Male","-","-","-","-","-","-","-","-","-","-","-","-","-","60.6996","-","-","-","-","-","-","-"
"Malta","2015","Total","-","-","-","-","-","-","-","-","-","-","-","-","-","61.62573","-","-","-","-","-","-","-"
"Malta","2014","Female","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.20306","-","-","-"
"Malta","2014","Male","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.93618","-","-","-"
"Marshall Islands","2020","Female","-","-","-","-","-","-","-","-","-","-","40.98139","-","-","-","-","41.20172","30.23203","25.81072","-","-","-"
"Marshall Islands","2020","Male","-","-","-","-","-","-","-","-","-","-","45.73191","-","-","-","-","37.91209","29.33101","29.93025","-","-","-"
"Marshall Islands","2020","Total","-","-","-","-","-","-","-","-","-","-","43.40623","-","-","-","-","39.52348","29.77184","27.91451","-","-","-"
"Mauritania","2019","Female","-","-","-","-","-","-","-","-","-","-","58.78367","-","-","-","-","-","21.24662","25.47205","-","-","-"
"Mauritania","2019","Male","-","-","-","-","-","-","-","-","-","-","63.07117","-","-","-","-","-","24.98444","30.77602","-","-","-"
"Mauritania","2019","Total","-","-","-","-","-","-","-","-","-","-","60.95711","-","-","-","-","-","23.1424","28.16043","-","-","-"
"Mauritania","2015","Female","26.96007","61.497341","26.90686","17.98534","57.896851","40.193409","23.235689","40","41.810169","59.62841","-","-","-","-","-","-","-","-","-","-","-"
"Mauritania","2015","Male","23.961729","57.409981","30.258141","22.30563","68.495567","53.450909","31.298059","43.900002","40.18478","55.612801","-","-","-","-","-","-","-","-","-","-","-"
"Mauritania","2015","Total","25.478689","59.48296","28.518311","20.021891","62.90905","45.948299","26.626789","41.900002","41.02861","57.735489","-","-","-","-","-","-","-","-","-","-","-"
"Mexico","2020","Female","-","-","-","-","-","-","-","-","-","-","-","99.17142","-","-","-","-","-","-","-","-","-"
"Mexico","2020","Male","-","-","-","-","-","-","-","-","-","-","-","98.99364","-","-","-","-","-","-","-","-","-"
"Mexico","2020","Total","-","-","-","-","-","-","-","-","-","-","-","99.08241","-","-","-","-","-","-","-","-","-"
"Mexico","2019","Female","-","-","-","-","-","-","-","-","-","-","24.5667","-","-","-","-","0","-","6.44447","-","-","-"
"Mexico","2019","Male","-","-","-","-","-","-","-","-","-","-","28.67629","-","-","-","-","1.85383","-","8.8073","-","-","-"
"Mexico","2019","Total","-","-","-","-","-","-","-","-","-","-","26.65224","-","-","-","-","0.94794","0.79265","7.64868","-","-","-"
"Mexico","2018","Female","97.400002","98.800003","90.599998","70.300003","98.300003","89.699997","60.400002","1.1","5.4000001","23.799999","-","-","-","41.00605","58.30066","-","-","-","-","-","-"
"Mexico","2018","Male","97.199997","98.800003","88.599998","65.699997","97.5","87.400002","55.900002","1.2","6.5","26","-","-","-","46.7353","52.05603","-","-","-","-","-","-"
"Mexico","2018","Total","97.300003","98.800003","89.5","68","97.900002","88.599998","58.200001","1.2","6","24.9","-","-","-","43.75356","55.306","-","-","-","-","-","-"
"Micronesia (Federated States of)","2020","Female","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","16.01495","-","-","-","-"
"Micronesia (Federated States of)","2020","Male","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","17.31298","-","-","-","-"
"Micronesia (Federated States of)","2020","Total","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","16.67838","-","-","-","-"
"Micronesia (Federated States of)","2019","Female","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","34.43478","-","-","-","-","-"
"Micronesia (Federated States of)","2019","Male","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","29.7054","-","-","-","-","-"
"Micronesia (Federated States of)","2019","Total","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","31.99831","-","-","-","-","-"
"Micronesia (Federated States of)","2014","Female","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","10.27919","-","-","-"
"Micronesia (Federated States of)","2014","Male","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","15.10188","-","-","-"
"Micronesia (Federated States of)","2014","Total","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","12.7594","-","-","-"
"Middle East and North Africa","2020","Female","-","-","-","-","-","-","-","-","-","-","33.20525","88.2266","-","-","-","50.71068","6.11851","12.06929","-","-","-"
"Middle East and North Africa","2020","Male","-","-","-","-","-","-","-","-","-","-","27.87156","92.29498","-","-","-","50.72294","4.15392","8.38167","-","-","-"
"Middle East and North Africa","2020","Total","-","-","-","-","-","-","-","-","-","-","30.47547","90.32127","-","-","-","50.71697","5.11047","10.18008","-","-","-"
"Mongolia","2020","Female","-","-","-","-","-","-","-","-","-","-","-","99.22561","-","-","-","-","-","-","-","-","-"
"Mongolia","2020","Male","-","-","-","-","-","-","-","-","-","-","-","98.92643","-","-","-","-","-","-","-","-","-"
"Mongolia","2020","Total","-","-","-","-","-","-","-","-","-","-","-","99.07434","-","-","-","-","-","-","-","-","-"
"Mongolia","2019","Female","-","-","-","-","-","-","-","-","-","-","8.74464","-","-","-","-","4.90139","-","7.2982","-","-","-"
"Mongolia","2019","Male","-","-","-","-","-","-","-","-","-","-","14.87737","-","-","-","-","2.89549","-","7.78882","-","-","-"
"Mongolia","2019","Total","-","-","-","-","-","-","-","-","-","-","11.83761","-","-","-","-","3.88604","0.61612","7.54602","-","-","-"
"Mongolia","2018","Female","88.300003","97","94.300003","91","-","-","-","2.5999999","3.3","5.4000001","-","-","-","-","-","-","-","-","-","46.2","-"
"Mongolia","2018","Male","80.199997","95.099998","91.900002","82.400002","-","-","-","4.6999998","5.3000002","15.4","-","-","-","-","-","-","-","-","-","42.8","-"
"Mongolia","2018","Total","84.300003","96.099998","93","86.5","-","-","-","3.5999999","4.4000001","10.6","-","-","-","-","-","-","-","-","-","44.4","-"
"Mongolia","2015","Female","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3.25075","-","-","-","-"
"Mongolia","2015","Male","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.87574","-","-","-","-"
"Mongolia","2014","Female","-","-","-","-","98.451233","93.007698","73.10305","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Mongolia","2014","Male","-","-","-","-","96.326317","87.101227","60.067669","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Mongolia","2014","Total","-","-","-","-","97.365547","89.729523","66.150703","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Montenegro","2020","Female","-","-","-","-","-","-","-","-","-","-","10.23907","-","-","-","-","17.11276","-","6.21841","-","-","-"
"Montenegro","2020","Male","-","-","-","-","-","-","-","-","-","-","13.12744","-","-","-","-","15.38665","-","5.95755","-","-","-"
"Montenegro","2020","Total","-","-","-","-","-","-","-","-","-","-","11.75157","-","-","-","-","16.21696","0.06794","6.08159","-","-","-"
"Montenegro","2019","Total","-","-","-","-","-","-","-","-","-","-","-","-","43","-","-","-","-","-","-","-","-"
"Montenegro","2018","Female","62.7682","95.260071","95.85968","89.403976","97.518806","96.706291","89.916656","3.1275539","1.649568","6.4442248","-","98.97","-","52.13279","63.49065","-","-","-","-","-","-"
"Montenegro","2018","Male","71.282249","95.085533","91.002586","85.338814","94.519417","92.71048","82.537247","3.7332129","0.98554462","9.2915993","-","99.23","-","55.40638","48.31694","-","-","-","-","-","-"
"Montenegro","2018","Total","66.967796","95.169182","93.219353","87.369423","96.030838","94.674019","86.245087","3.4429419","1.288602","7.8692951","-","99.11","-","53.83931","55.5806","-","-","-","-","-","-"
"Montenegro","2017","Female","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.69724","-","-","-","-"
"Montenegro","2017","Male","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.85189","-","-","-","-"
"Montserrat","2019","Female","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-"
"Montserrat","2019","Male","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","19.35484","-","-","-","-","-"
"Montserrat","2019","Total","-","-","-","-","-","-","-","-","-","-","16.15385","-","-","-","-","10.16949","-","7.33867","-","-","-"
"Montserrat","2016","Total","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.74174","-","-","-","-"
"Montserrat","2014","Female","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","15.17857","-","-","-","-"
"Montserrat","2014","Male","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","14.52282","-","-","-","-"
"Morocco","2020","Female","-","-","-","-","-","-","-","-","-","-","26.79821","-","-","-","-","30.13043","-","8.51725","-","-","-"
"Morocco","2020","Male","-","-","-","-","-","-","-","-","-","-","24.05953","-","-","-","-","24.14093","-","5.87188","-","-","-"
"Morocco","2020","Total","-","-","-","-","-","-","-","-","-","-","25.39753","-","-","-","-","27.05944","0.44712","7.16013","-","-","-"
"Morocco","2019","Total","-","-","-","-","-","-","-","-","-","-","-","-","18","12","-","-","-","-","-","-","-"
"Morocco","2018","Female","-","-","-","-","-","-","-","-","-","-","-","97.4","-","-","31.909","-","-","-","-","-","-"
"Morocco","2018","Male","-","-","-","-","-","-","-","-","-","-","-","98.04","-","-","21.92446","-","-","-","-","-","-"
"Morocco","2018","Total","-","-","-","-","-","-","-","-","-","-","-","97.73","-","-","26.69041","-","-","-","-","-","-"
"Morocco","2017","Female","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.55929","-","-","-","-"
"Morocco","2017","Male","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.25404","-","-","-","-"
"Morocco","2016","Total","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","36"
"Morocco","2015","Female","-","-","-","-","-","-","-","-","-","-","-","-","15.7447","14.59731","-","-","-","-","-","-","-"
"Morocco","2015","Male","-","-","-","-","-","-","-","-","-","-","-","-","15.63435","13.62537","-","-","-","-","-","-","-"
"Mozambique","2020","Female","-","-","-","-","-","-","-","-","-","-","65.88975","-","-","-","-","-","-","40.98358","-","-","-"
"Mozambique","2020","Male","-","-","-","-","-","-","-","-","-","-","56.58483","-","-","-","-","-","-","34.96673","-","-","-"
"Mozambique","2020","Total","-","-","-","-","-","-","-","-","-","-","61.26224","-","-","-","-","-","0.86715","37.98249","-","-","-"
"Mozambique","2019","Female","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3.72295","-","-","-","-"
"Mozambique","2019","Male","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.08763","-","-","-","-"
"Mozambique","2011","Female","71.699997","71.699997","16.6","3.4000001","39.189701","10.65145","5.2646251","23","38.299999","63.299999","-","-","-","-","-","-","-","-","-","-","-"
"Mozambique","2011","Male","71.300003","71.300003","15.1","3.4000001","43.645168","14.96718","8.3742132","22.9","28","43.200001","-","-","-","-","-","-","-","-","-","-","-"
"Mozambique","2011","Total","71.5","71.5","15.8","3.4000001","41.358231","12.62386","6.6381321","22.9","33.099998","53.400002","-","-","-","-","-","-","-","-","-","-","-"
"Myanmar","2019","Female","-","-","-","-","-","-","-","-","-","-","-","95.5529","12.3","-","-","-","-","-","-","-","12.1"
"Myanmar","2019","Male","-","-","-","-","-","-","-","-","-","-","-","95.27067","12","-","-","-","-","-","-","-","9.5"
"Myanmar","2019","Total","-","-","-","-","-","-","-","-","-","-","-","95.41512","12","-","-","-","-","-","-","-","11"
"Myanmar","2018","Female","-","-","-","-","-","-","-","-","-","-","38.39902","-","-","-","-","88.18994","-","19.81454","-","-","-"
"Myanmar","2018","Male","-","-","-","-","-","-","-","-","-","-","46.89922","-","-","-","-","88.27186","-","22.10723","-","-","-"
"Myanmar","2018","Total","-","-","-","-","-","-","-","-","-","-","42.65935","-","-","-","-","88.23121","1.9472","20.96568","-","-","-"
"Myanmar","2016","Female","56.230949","92.300003","71","40.900002","84.397919","-","-","6.9000001","17.4","48.900002","-","-","-","-","-","-","-","-","-","-","-"
"Myanmar","2016","Male","55.292259","93.400002","66.900002","29.9","81.712029","-","-","5.4000001","15.5","54.299999","-","-","-","-","-","-","-","-","-","-","-"
"Myanmar","2016","Total","55.756939","92.800003","69","35.5","83.093033","-","-","6.1999998","16.5","51.599998","-","-","-","-","-","-","-","-","-","-","-"
"Myanmar","2015","Female","-","-","-","-","-","45.01395","19.25675","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Myanmar","2015","Male","-","-","-","-","-","44.584648","13.85098","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Myanmar","2015","Total","-","-","-","-","-","44.812","16.796431","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Namibia","2019","Female","-","-","-","-","-","-","-","-","-","-","23.26538","-","-","-","-","-","-","-","-","-","-"
"Namibia","2019","Male","-","-","-","-","-","-","-","-","-","-","22.00246","-","-","-","-","-","-","-","-","-","-"
"Namibia","2019","Total","-","-","-","-","-","-","-","-","-","-","22.63805","-","-","-","-","-","1.60896","1.29893","-","-","-"
"Namibia","2018","Female","-","-","-","-","-","-","-","-","-","-","-","96.19844","-","-","-","29.60842","-","0.49105","-","-","-"
"Namibia","2018","Male","-","-","-","-","-","-","-","-","-","-","-","94.10937","-","-","-","32.64059","-","2.68947","-","-","-"
"Namibia","2018","Total","-","-","-","-","-","-","-","-","-","-","-","95.1649","-","-","-","31.12412","-","-","-","-","-"
"Namibia","2013","Female","91.122993","93.05658","67.400002","28.1","86.099998","62.299999","39.099998","3.8","12.10965","35.411491","-","-","-","-","-","-","-","-","-","-","-"
"Namibia","2013","Male","88.025932","91.507027","53.5","20.200001","75","48.099998","33.200001","5.0999999","11.23619","32.1772","-","-","-","-","-","-","-","-","-","-","-"
"Namibia","2013","Total","89.614929","92.285759","60.299999","24.4","80.599998","55.700001","36.400002","4.4000001","11.66673","33.876369","-","-","-","-","-","-","-","-","-","-","-"
"Nauru","2020","Female","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","2.87206","-","-","-","-"
"Nauru","2020","Male","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","7.98089","5.79897","-","-","-","-"
"Nauru","2020","Total","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4.01979","4.34501","-","-","-","-"
"Nauru","2019","Female","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3.50467","-","-","-"
"Nauru","2019","Male","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","12.32558","-","-","-"
"Nauru","2019","Total","-","-","-","-","-","-","-","-","-","-","5.26316","-","-","-","-","-","-","7.92541","-","-","-"
"Nauru","2016","Female","-","-","-","-","-","-","-","-","-","-","60.10101","-","-","-","-","-","-","-","-","-","-"
"Nauru","2016","Male","-","-","-","-","-","-","-","-","-","-","51.51515","-","-","-","-","-","-","-","-","-","-"
"Nauru","2011","Female","97.699997","97.699997","-","-","-","-","-","2.3","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Nauru","2011","Male","96.900002","96.900002","-","-","-","-","-","3.0999999","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Nauru","2011","Total","97.300003","97.300003","-","-","-","-","-","2.7","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Nepal","2020","Female","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","15.03393","-","-","-","-","-"
"Nepal","2020","Male","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","6.17936","-","-","-","-","-"
"Nepal","2020","Total","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","10.56279","-","-","-","-","-"
"Nepal","2019","Female","81.82502","75.88549","54.70591","48.97398","82.873337","75.146141","27.60297","6.5806398","4.4802279","14.95984","12.69271","-","-","-","-","-","-","-","-","-","-"
"Nepal","2019","Male","83.799599","73.197952","45.86108","45.711418","80.698082","70.904846","26.8309","4.616137","4.1706882","15.16926","25.82674","-","-","-","-","-","-","-","-","-","-"
"Nepal","2019","Total","82.884506","74.488167","50.266861","47.402439","81.818573","73.09626","27.2705","5.5592418","4.3248758","15.06072","19.3217","-","-","-","-","-","-","-","-","-","-"
"Nepal","2018","Female","-","-","-","-","-","-","-","-","-","-","-","90.88347","-","-","-","-","-","-","-","-","-"
"Nepal","2018","Male","-","-","-","-","-","-","-","-","-","-","-","94.03428","-","-","-","-","-","-","-","-","-"
"Nepal","2018","Total","-","-","-","-","-","-","-","-","-","-","-","92.39381","-","-","-","-","-","-","-","-","-"
"Nepal","2017","Female","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3.16434","-","-","-"
"Nepal","2017","Male","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","7.43954","-","-","-"
"Nepal","2017","Total","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3.52287","5.33436","-","-","-"
"Netherlands","2019","Female","-","-","-","-","-","-","-","-","-","-","0.48169","-","-","-","-","2.30908","-","2.27174","-","-","-"
"Netherlands","2019","Male","-","-","-","-","-","-","-","-","-","-","1.25868","-","-","-","-","2.69321","-","3.25716","-","-","-"
"Netherlands","2019","Total","-","-","-","-","-","-","-","-","-","-","0.8805","-","84","-","-","2.50628","0.4073","2.77793","-","-","-"
"Netherlands","2018","Female","-","-","-","-","-","-","-","-","-","-","-","-","-","84.90501","81.22141","-","-","-","-","-","-"
"Netherlands","2018","Male","-","-","-","-","-","-","-","-","-","-","-","-","-","83.59709","70.63255","-","-","-","-","-","-"
"Netherlands","2018","Total","-","-","-","-","-","-","-","-","-","-","-","-","-","84.24937","75.91339","-","-","-","-","-","-"
"Netherlands","2017","Female","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.53208","-","-","-","-"
"Netherlands","2017","Male","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.38737","-","-","-","-"
"Netherlands","2016","Female","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","99.40024"
"Netherlands","2016","Male","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","97.99961"
"Netherlands","2016","Total","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","98.69016"
"Netherlands","2015","Female","-","-","-","-","-","-","-","-","-","-","-","-","81.57301","-","-","-","-","-","-","-","-"
"Netherlands","2015","Male","-","-","-","-","-","-","-","-","-","-","-","-","84.36688","-","-","-","-","-","-","-","-"
"New Zealand","2019","Female","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9.24339","-","0.02619","-","-","-"
"New Zealand","2019","Male","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","7.82338","-","0.17013","-","-","-"
"New Zealand","2019","Total","-","-","-","-","-","-","-","-","-","-","1.04923","-","56","-","-","8.51693","0.00005","0.10006","-","-","-"
"New Zealand","2018","Female","-","-","-","-","-","-","-","-","-","-","0.7957","-","-","77.83929","85.6099","-","-","-","-","-","-"
"New Zealand","2018","Male","-","-","-","-","-","-","-","-","-","-","4.01501","-","-","78.59706","76.53444","-","-","-","-","-","-"
"New Zealand","2018","Total","-","-","-","-","-","-","-","-","-","-","-","-","-","78.22116","81.03644","-","-","-","-","-","-"
"New Zealand","2016","Female","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.57012","-","-","-","92.519"
"New Zealand","2016","Male","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.32287","-","-","-","87.80289"
"New Zealand","2016","Total","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","89.97345"
"New Zealand","2015","Female","-","-","-","-","-","-","-","-","-","-","-","-","58.3714","-","-","-","-","-","-","-","-"
